,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
359,nyc-taxi-green-dec-2016_OpenML,581835,18,1687142647,1687142703,1,56.0,567.403125,5844.03515625,680.490625,5844
366,poker-hand_OpenML,1025000,10,1687135059,1687135229,1,170.0,448.687890625,5773.328125,507.5669642857143,5802
367,pokerhand_OpenML,829201,10,1687110373,1687110484,1,111.0,526.8046875,5267.5078125,609.494921875,5325
368,Porto_Seguro_Safe_Driver_Prediction_2nd_Place_Lightgbm_Solution_OpenML,595212,223,1687143542,1687143601,1,59.0,1736.480859375,7730.141796874999,2451.879296875,7826
373,RandomRBF_0_0_OpenML,1000000,10,1687219679,0,-22,,61234.21015625,130989.833984375,61716.887109375,234750
374,RandomRBF_10_1E-3_OpenML,1000000,10,1687220171,0,-22,,61262.7978515625,118721.05058593751,61769.8828125,235457
375,RandomRBF_10_1E-4_OpenML,1000000,10,1687220683,0,-22,,61275.8931640625,114715.8642578125,61962.338671875,235780
376,RandomRBF_50_1E-3_OpenML,1000000,10,1687111922,1687112090,1,168.0,4117.387890625,9184.148828125,8843.12265625,14495
377,RandomRBF_50_1E-4_OpenML,1000000,10,1687112097,1687112267,1,170.0,5238.190624999999,9300.334765625,11291.48203125,16773
379,RelevantImagesDatasetTEST_OpenML,134731,30,1687142377,1687142380,1,3.0,532.831640625,6274.0546875,574.05234375,6274
381,road-safety_OpenML,111762,32,1687145839,1687145841,1,2.0,279.0634765625,5738.8828125,294.926171875,6212
382,SantanderCustomerSatisfaction_OpenML,200000,200,1687152977,1687152984,1,7.0,472.7421875,2932.0544921875,599.54296875,2935
387,SGEMM_GPU_kernel_performance_OpenML,241600,17,1687144310,1687144320,1,10.0,469.93828125,5568.74609375,508.10625,5568
