,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Median,Memory_Physical_Median,Memory_Virtual_Median,Memory_Max,Memory_Physical_Max,Memory_Virtual_Max
143,BNG(mushroom)_OpenML,1000000,22,1686474065.0,1686474271.0,1,206.0,29166.816795,10710.289455,18456.52734,33246.44765,12869.92031,20376
144,BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,1686474275.0,1686474470.0,1,195.0,26470.795309,9166.267969,17304.52734,26493.972653,9189.445313,17304
145,BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1686474472.0,1686474670.0,1,198.0,25670.6999965,9070.172656499999,16600.52734,27375.844528,9879.317188,17496
146,BNG(optdigits)_OpenML,1000000,64,1686474674.0,1686474869.0,1,195.0,25831.292965,8896.765625,16934.52734,25849.726559000002,8915.199219,16934
147,BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1686474871.0,1686475096.0,1,225.0,43189.76015,17039.23281,26150.52734,63861.622650000005,26895.09531,36966
148,BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1686475099.0,1686475296.0,1,197.0,29978.425000000003,10739.89766,19238.52734,30107.04765,10868.52031,19238
149,BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686475299.0,1686475523.0,1,224.0,46994.423429999995,18859.89609,28134.52734,71618.83632,30350.10898,41268
150,BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1686475527.0,1686475721.0,1,194.0,24804.856637,8254.329297,16550.52734,24833.074215,8282.546875,16550
151,BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1686475725.0,1686475920.0,1,195.0,24965.602730500003,8415.0753905,16550.52734,25153.380465000002,8602.853125,16550
152,BNG(segment)_OpenML,1000000,19,1686475922.0,1686476383.0,1,461.0,241323.9708,107814.2563,133509.7145,424229.2516,182281.7453,241947
153,BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1686476389.0,1686479235.0,1,2846.0,708142.0031000001,249012.2758,459129.7273,895938.4816,251340.8621,644597
154,BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,1686479244.0,1686479441.0,1,197.0,20434.5644495,3883.0371095,16551.52734,42960.94726,14163.30273,28797
155,BNG(soybean)_OpenML,1000000,35,1686479444.0,1686479643.0,1,199.0,24380.7640585,5909.2367185,18471.52734,28291.824215,7900.296875,20391
156,BNG(spambase)_OpenML,1000000,57,1686479645.0,1686480917.0,0,1272.0,917319.0414,251551.5141,665767.5273,1269440.5629,252261.8359,1017178
157,BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686486191.0,1686486391.0,1,200.0,22839.080081,7433.007031,15406.07305,36703.36446,14124.71094,22578
158,BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686486393.0,1686486602.0,1,209.0,54770.6625,22843.06641,31927.59609,101160.70000000001,44778.29531,56382
159,BNG(trains)_OpenML,1000000,32,1686486605.0,1686486804.0,1,199.0,15165.196871,3708.013281,11457.18359,15408.089066,3923.028906,11485
160,BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686486806.0,1686487010.0,1,204.0,26054.32891,9106.575,16947.75391,42992.19452999999,16984.96406,26007
161,BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686487013.0,1686487226.0,1,213.0,50154.33555,20472.375,29681.96055,90585.33828,39700.44375,50884
162,BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1686487229.0,1686487443.0,1,214.0,60477.326369999995,25035.31172,35442.01465,111374.26563000001,48823.33672,62550
163,BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1686487446.0,1686490154.0,1,2708.0,658623.4848,250972.4203,407651.0645,824378.0324,251567.5113,572810
164,BNG(ionosphere)_OpenML,1000000,34,1686490161.0,1686490495.0,1,334.0,216261.85543,98449.22813,117812.6273,426166.57499999995,197533.5016,228633
165,BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,1686490500.0,1686490717.0,1,217.0,237343.22885,105867.77575,131475.4531,237382.0039,105906.5508,131475
166,BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,1686490721.0,1686490941.0,1,220.0,158356.62188,68748.86796999999,89607.75391,160574.21094000002,69942.45703,90631
167,CovPokElec_OpenML,1455525,72,1686490945.0,1686492191.0,0,1246.0,1031468.9789500001,251607.4805,779861.4984500001,1433816.9322000002,252256.0652,1181560
168,Hyperplane_10_1E-3_OpenML,1000000,10,1686528158.8941896,1686528444.990033,1,286.0958433151245,23258.413278,7764.292188,15494.12109,37734.83047,15072.70938,22662
169,Hyperplane_10_1E-4_OpenML,1000000,10,1686528445.8731966,1686528698.1069908,1,252.2337942123413,22617.324224,7485.027344,15132.29688,38029.99766,15217.70078,22812
170,LED(50000)_OpenML,1000000,24,1686528700.7619534,1686528907.388444,1,206.62649059295654,11600.703125,1840.316406,9760.386719,11683.125782,1922.739063,9760
171,RandomRBF_10_1E-3_OpenML,1000000,10,1686528908.990405,1686529720.114117,1,811.1237118244171,286837.7223,126015.5137,160822.2086,465098.1215,183440.7129,281657
172,RandomRBF_10_1E-4_OpenML,1000000,10,1686529721.6782298,1686530391.0324218,1,669.3541920185089,303895.43925,133538.77285,170356.6664,508246.5235,226446.7305,281799
173,RandomRBF_50_1E-3_OpenML,1000000,10,1686530392.6718664,1686530627.0084803,1,234.3366138935089,158494.10313,63474.03672,95020.06641,163336.36797000002,66076.30156,97260
174,RandomRBF_50_1E-4_OpenML,1000000,10,1686530628.130528,1686530864.5154846,1,236.38495659828186,58916.875985,21583.809575,37333.06641,66650.16641,25477.1,41173
175,BNG(anneal)_OpenML,1000000,38,1686530871.3950226,1686531126.1797438,1,254.78472113609314,31971.54492,11008.91133,20962.63359,48707.213279999996,18611.77969,30095
176,BNG(anneal.ORIG)_OpenML,1000000,38,1686531130.1622555,1686531376.393106,1,246.23085045814514,38938.593745,14579.361715,24359.23203,63754.37187,26105.53984,37648
177,BNG(labor)_OpenML,1000000,16,1686531378.7427783,1686531592.3615775,1,213.61879920959473,46931.341400000005,18354.97031,28576.37109,47426.99922,18530.62813,28896
178,BNG(letter)_OpenML,1000000,16,1686531595.785044,1686531807.2596817,1,211.4746377468109,24533.292968,7662.773438,16870.51953,24654.312503999998,7763.340234,16890
179,BNG(autos)_OpenML,1000000,25,1686531811.0533783,1686532022.1331098,1,211.079731464386,19968.246096000003,5477.066406,14491.17969,19972.36719,5481.1875,14491
180,BNG(lymph)_OpenML,1000000,18,1686532024.8217385,1686532236.8240943,1,212.0023558139801,18914.554684000002,5062.527344,13852.02734,19074.523434000002,5222.496094,13852
