Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,1686450842,1686450866,1,24,3557.875,23206.301175,3678.067188,23299
BNG(page-blocks)_OpenML,295245,10,1686462382,1686462426,1,44,4554.7714845,27306.955275,4695.742188,30181
BNG(pbc)_OpenML,1000000,18,1686474510,1686474674,1,164,6852.863281,36082.77734,6875.035156,36154
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686451128,1686451329,1,201,4062.4490235000003,23999.230470000002,4495.657813,24844
BNG(pendigits)_OpenML,1000000,16,1686462674,1686462839,1,165,4659.146094,27680.00781,5246.222266,29081
BNG(pharynx)_OpenML,1000000,10,1686475340,1686475436,1,96,6856.78125,36275.77734,7015.183203,39072
BNG(primary-tumor)_OpenML,1000000,17,1686471688,1686471846,1,158,6733.308594,34537.52734,6739.203906,35047
BNG(puma32H)_OpenML,1000000,32,1686477301,1686477434,1,133,7253.949219,38866.77734,7254.926953,40240
BNG(pwLinear)_OpenML,177147,10,1686475929,1686475943,1,14,7209.574219,37490.77734,7209.887891,38822
BNG(satellite_image)_OpenML,1000000,36,1686476328,1686476467,1,139,7210.839844,37490.52734,7234.171875,39141
