Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
599_fri_c2_1000_5,1000,6,117421,0.063856713,0,1.07802701,0,0.757797003,0,1.14304781
598_fri_c0_1000_25,1000,26,508305,1.24E-05,0,1.102534294,0,1.311471224,0,1.184690237
595_fri_c0_1000_10,1000,11,215053,0.00021151,0,1.009104967,0,0.815239906,0,1.412509918
593_fri_c1_1000_10,1000,11,215165,0.008764662,0,1.164154291,0,1.181235075,0,1.10680604
592_fri_c4_1000_25,1000,26,509030,0.006483651,0,1.066679001,0,1.28123498,0,1.113016129
590_fri_c0_1000_50,1000,51,997402,-0.000290055,0,1.207152843,0,1.576579809,0,1.311661243
589_fri_c2_1000_25,1000,26,508540,0.000392312,0,1.073985815,0,1.186023951,0,1.234276056
588_fri_c4_1000_100,1000,101,1975557,7.04E-05,0,1.467574835,0,1.638996124,0,1.2431252
586_fri_c3_1000_25,1000,26,508700,0.005217568,0,1.11895299,0,1.342758179,0,1.110669851
583_fri_c1_1000_50,1000,51,997437,6.17E-05,0,1.843091249,0,1.450768948,0,3.244863987
573_cpu_act,8192,22,1782623,0.000159628,0.017212982,70.03087282,0.000227977,2.10953927,0.006579063,10.2062819
562_cpu_small,8192,13,908177,0.036988769,0.010629186,70.24627805,0.055299534,2.385855913,0.006578828,7.046897888
529_pollen,3848,5,365598,0.051043329,1.18E-05,16.12780309,5.97E-06,1.50344491,3.28E-05,6.073774815
503_wind,6574,15,1371893,0.034983886,0.002187252,15.33833814,0.001581408,2.321215868,0.002119464,24.37821126
4544_GeographicalOriginalofMusic,1059,118,2467712,0.020779779,-7.26E-06,1.242244959,1.29E-05,2.214366198,-7.26E-06,1.284787178
294_satellite_image,6435,37,1239015,0.007860726,0.093966991,14.32729387,0.087008284,3.301067829,0.097708367,41.25277281
227_cpu_small,8192,13,908177,0.060533226,0.025355378,70.32451463,0.053393919,2.48643589,0.063346114,36.62587166
225_puma8NH,8192,9,1441380,0.025564989,0,20.44836116,0,2.511381865,0,42.63483715
197_cpu_act,8192,22,1782623,0.000581314,0.053188704,70.41837382,0.000837066,2.524967194,0.020718584,37.42241979
1030_ERA,1000,5,21290,0.00046204,0.000454855,1.823915005,0.021584493,1.489544868,0.001495261,5.536580324
1028_SWD,1000,11,44048,0,0.005509147,1.82618618,0,0.991708994,0,1.338989019
