Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI
BNG(adult)_OpenML,1000000,14,SS,M2,117.8255072,329.9114202,432.1839604,389.2954758,9.14E-05
BNG(satimage)_OpenML,1000000,36,SS,M2,185.9709959,502.1216889,647.7369787,587.482376,0.453861528
BNG(wine)_OpenML,1000000,13,SS,M2,289.735074,840.2317146,1092.301229,999.8757404,0.070956695
BNG(eucalyptus)_OpenML,1000000,19,SS,M2,164.0333169,459.2932873,601.6742064,541.966079,-2.31E-05
BNG(wisconsin)_OpenML,1000000,32,SS,M2,231.9048951,626.1432168,807.7247496,732.5875636,2.66E-09
BNG(auto_price)_OpenML,1000000,15,SS,M2,81.68382382,236.8830891,307.9480158,281.890876,0
BNG(cpu_act)_OpenML,1000000,21,SS,M2,125.2339149,350.6549617,459.3579999,413.7728548,8.15E-08
BNG(pbc)_OpenML,1000000,18,SS,M2,118.1625102,319.0387775,411.560023,373.2753697,-1.20E-10
BNG(autoHorse)_OpenML,1000000,25,SS,M2,135.1229742,391.8566252,509.4136127,466.309384,3.18E-08
BNG(cholesterol)_OpenML,1000000,13,SS,M2,141.335917,395.7405676,518.4201436,466.9738698,-1.10E-09
BNG(autoPrice)_OpenML,1000000,15,SS,M2,91.00946307,245.7255503,316.9859599,287.4988938,-2.12E-11
BNG(pharynx)_OpenML,1000000,10,SS,M2,134.9870799,391.4625317,508.9012912,465.8404127,-1.07E-09
BNG(2dplanes)_OpenML,177147,10,SS,M2,11.89682102,33.31109886,43.6375395,39.30709665,5.45E-08
BNG(elevators)_OpenML,1000000,18,SS,M2,184.798466,498.9558582,643.6530571,583.7783541,0.002116369
BNG(cpu_small)_OpenML,1000000,12,SS,M2,97.19158292,281.8555905,366.4122676,335.4081527,2.97E-08
BNG(pwLinear)_OpenML,177147,10,SS,M2,28.52451277,79.86863576,104.6279128,94.24499019,4.92E-08
BNG(Australian)_OpenML,1000000,14,SS,M2,77.67977595,209.7353951,270.5586596,245.3904122,0.371527122
BNG(satellite_image)_OpenML,1000000,36,SS,M2,217.3335302,630.2672376,819.3474089,750.0180127,0.47965255
BNG(libras_move)_OpenML,1000000,90,SS,M2,419.7037821,1175.17059,1539.473473,1386.701296,5.35E-08
BNG(vowel)_OpenML,1000000,12,SS,M2,86.3390429,233.1154158,300.7188864,272.7450365,1.78E-05
BNG(puma32H)_OpenML,1000000,32,SS,M2,178.7312081,518.3205035,673.8166545,616.8013992,-2.53E-08
BNG(SPECT)_OpenML,1000000,22,SS,M2,82.08981681,229.8514871,301.1054481,271.2247547,0.013797102
BNG(SPECTF)_OpenML,1000000,44,SS,M2,269.2350097,726.9345262,937.7455388,850.5133956,-0.062124421
letter-challenge-unlabeled.arff_OpenML,20000,16,SS,M2,24.32359195,70.53841666,91.69994165,83.94071582,-0.007068707
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,210.0621309,588.1739665,770.5078961,694.0452805,0.015336271
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,SS,M2,217.174644,586.3715388,756.4192851,686.0547004,-0.023857652
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,SS,M2,206.1197252,597.7472031,777.071364,711.3191717,-0.015054922
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,M2,437.4493821,1224.85827,1604.564334,1445.332758,-0.007041633
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,M2,210.184973,567.4994271,732.074261,663.9743297,0.01573048
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,M2,239.1199882,693.4479658,901.4823555,825.2030793,-0.011876048
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,283.1985769,792.9560153,1038.77238,935.6880981,-0.005551059
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,231.5184078,625.0997011,806.3786144,731.3666502,0.003201184
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,258.4472172,749.4969299,974.3460088,891.9013466,-0.033066548
