Name,Time,Memory_Physical,Memory_Virtual
python3.11,1685673172.862617,6933.439453125,199970.3109375
python3.11,1685673182.926856,6656.067578125,203080.7109375
python3.11,1685673193.024916,6136.43515625,206011.9109375
python3.11,1685673203.104525,5678.706640625,208943.1109375
python3.11,1685673213.1886148,5603.533984375,211746.3109375
python3.11,1685673223.277558,5594.975,213538.3109375
python3.11,1685673233.374424,5429.121875,216595.5109375
python3.11,1685673243.502649,6287.09296875,225440.0109375
python3.11,1685673253.604915,5600.213671875,236500.1109375
python3.11,1685673263.703428,6559.680859375,230766.1109375
python3.11,1685673273.804686,6614.638671875,260257.9109375
python3.11,1685673283.891068,5377.56328125,258619.5109375
python3.11,1685673293.989535,7122.42421875,247151.4109375
python3.11,1685673304.0952,6489.344921875,247152.0109375
python3.11,1685673314.189729,6434.73125,247152.7109375
python3.11,1685673324.2957199,6374.4578125,247153.5109375
python3.11,1685673334.391546,6320.52109375,247153.8109375
python3.11,1685673344.494111,6214.341796875,247154.7109375
python3.11,1685673354.5751228,5327.54296875,226831.0109375
python3.11,1685673364.681546,1626.05390625,88277.2109375
python3.11,1685673374.792806,2735.833984375,56108.8109375
python3.11,1685673384.868324,3086.475,54946.3109375
python3.11,1685673394.9549131,5882.601953125,58133.5109375
python3.11,1685673405.048192,8433.183984375,61576.7109375
python3.11,1685673415.127115,10189.505078125,63931.9109375
python3.11,1685673425.207243,12247.32109375,66709.5109375
python3.11,1685673435.317327,14282.49453125,69371.9109375
python3.11,1685673445.409838,16357.614453125,72175.1109375
python3.11,1685673455.523783,18261.833203125,74863.1109375
python3.11,1685673465.6132228,20475.56171875,77973.5109375
python3.11,1685673475.7147331,21805.317578125,81583.1109375
python3.11,1685673485.8020842,21329.869921875,85192.7109375
python3.11,1685673495.898825,20698.398828125,88866.3109375
python3.11,1685673505.9904268,20186.2734375,92386.3109375
python3.11,1685673516.0692549,19495.597265625,96123.9109375
python3.11,1685673526.1540549,18857.134765625,99656.7109375
python3.11,1685673536.254735,18487.43515625,102997.5109375
python3.11,1685673546.339948,18059.834375,106696.7109375
python3.11,1685673556.44451,17575.875390625,110203.9109375
python3.11,1685673566.557174,17129.451953125,113877.5109375
python3.11,1685673576.641473,16777.79765625,117487.1109375
python3.11,1685673586.725963,16022.333984375,121211.9109375
python3.11,1685673596.814267,15193.205078125,124783.1109375
python3.11,1685673606.920237,14749.780859375,128507.9109375
python3.11,1685673617.032712,14266.45859375,132258.3109375
python3.11,1685673627.118027,13813.883984375,135906.3109375
python3.11,1685673637.195603,13301.44375,139656.7109375
python3.11,1685673647.278839,12874.590625,143343.1109375
python3.11,1685673657.359155,12515.996484375,146991.1109375
python3.11,1685673667.4342568,12114.291015625,150613.5109375
python3.11,1685673677.551712,11761.366015625,154312.7109375
python3.11,1685673687.6404428,11434.309765625,157448.7109375
python3.11,1685673697.711135,11204.69375,159573.5109375
python3.11,1685673707.785502,10793.8140625,162248.7109375
python3.11,1685673717.8766599,10408.3625,165141.5109375
python3.11,1685673727.97003,9992.022265625,167727.1109375
python3.11,1685673738.0748959,9653.8328125,170453.5109375
python3.11,1685673748.1580648,9394.0,173295.1109375
python3.11,1685673758.251217,8993.56015625,176239.1109375
python3.11,1685673768.3352902,8622.0671875,179669.5109375
python3.11,1685673778.3998988,8150.59140625,183330.3109375
python3.11,1685673788.4812999,7726.420703125,186888.7109375
python3.11,1685673798.594547,7303.8671875,189704.7109375
python3.11,1685673808.675909,6933.2625,192072.7109375
python3.11,1685673818.761729,6758.35859375,194863.1109375
python3.11,1685673828.835278,6340.980859375,197704.7109375
python3.11,1685673838.907064,6043.708984375,200303.1109375
python3.11,1685673848.9869142,5781.496875,202837.5109375
python3.11,1685673859.1030269,5558.809765625,205346.3109375
python3.11,1685673869.1760929,5488.502734375,208008.7109375
python3.11,1685673879.2553222,5369.638671875,210133.5109375
python3.11,1685673889.331004,5297.673046875,212706.3109375
python3.11,1685673899.431488,5469.924609375,216959.0109375
python3.11,1685673909.5634549,6334.921875,224185.6109375
python3.11,1685673919.694006,5329.049609375,236884.1109375
python3.11,1685673929.78921,6552.540234375,231150.1109375
python3.11,1685673939.902147,6359.025,257365.1109375
python3.11,1685673949.9949498,5124.449609375,259003.5109375
python3.11,1685673960.0867531,6894.2265625,247535.4109375
python3.11,1685673970.179044,6352.55703125,247535.9109375
python3.11,1685673980.283639,6278.293359375,247536.7109375
python3.11,1685673990.389024,6278.369140625,247537.3109375
python3.11,1685674000.471091,6374.859765625,247537.7109375
python3.11,1685674010.583432,6434.950390625,247538.6109375
python3.11,1685674020.676061,6053.65546875,240985.1109375
python3.11,1685674030.782165,2299.687109375,125784.9109375
python3.11,1685674040.868074,2978.24375,56459.1109375
python3.11,1685674050.9780731,2914.164453125,55357.3109375
python3.11,1685674061.043651,4361.994140625,55780.3109375
python3.11,1685674071.109029,6545.66796875,58749.9109375
python3.11,1685674081.171985,8110.736328125,60759.5109375
python3.11,1685674091.263587,9600.51640625,62807.5109375
python3.11,1685674101.332222,11290.794921875,65111.5109375
python3.11,1685674111.403738,12922.625,67415.5109375
python3.11,1685674121.4833632,14578.494140625,69655.5109375
python3.11,1685674131.567484,16271.641796875,72100.3109375
python3.11,1685674141.6548312,17924.828515625,74429.9109375
python3.11,1685674151.747421,19501.55859375,76503.5109375
python3.11,1685674161.8381078,20995.1546875,78897.1109375
python3.11,1685674171.916824,21729.210546875,80817.1109375
python3.11,1685674181.996682,21285.90078125,83108.3109375
python3.11,1685674192.0594869,19839.715625,85117.9109375
python3.11,1685674202.116976,18087.66875,86999.5109375
python3.11,1685674212.186303,17827.2375,88842.7109375
python3.11,1685674222.238595,17609.9984375,90980.3109375
python3.11,1685674232.302606,17424.69375,92964.3109375
python3.11,1685674242.3598652,17291.6921875,95165.9109375
python3.11,1685674252.424237,17330.894140625,97124.3109375
python3.11,1685674262.492457,17107.38828125,99172.3109375
python3.11,1685674272.560008,16879.250390625,101079.5109375
python3.11,1685674282.6228821,16619.601953125,103319.5109375
python3.11,1685674292.688385,16378.283203125,105431.5109375
python3.11,1685674302.763409,16139.1953125,107441.1109375
python3.11,1685674312.822603,15853.123828125,110090.7109375
python3.11,1685674322.9047391,15518.89296875,113073.1109375
python3.11,1685674332.983128,14838.06796875,115889.1109375
python3.11,1685674343.04986,14211.997265625,118282.7109375
python3.11,1685674353.1048892,13778.43828125,119831.5109375
python3.11,1685674363.172831,13494.67578125,121892.3109375
python3.11,1685674373.238008,13249.92734375,124029.9109375
python3.11,1685674383.311829,13010.430078125,126295.5109375
python3.11,1685674393.36715,12743.58203125,128394.7109375
python3.11,1685674403.431948,12495.73828125,130327.5109375
python3.11,1685674413.489378,12299.285546875,132541.9109375
python3.11,1685674423.562269,12077.789453125,134692.3109375
python3.11,1685674433.6201768,11757.3171875,137649.1109375
python3.11,1685674443.6870668,11595.699609375,140772.3109375
python3.11,1685674453.7358122,11409.023828125,143383.5109375
python3.11,1685674463.788238,11385.94296875,145290.7109375
python3.11,1685674473.852684,11435.72578125,147185.1109375
python3.11,1685674483.908282,11458.94921875,149399.5109375
python3.11,1685674494.016004,11316.1140625,151460.3109375
